route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
4324_78151,7778020,223X,South Mall - Haulbowline,,3,,,
4324_78152,7778020,X32,Dublin - Letterkenny,,3,,,
4324_78153,7778020,A1,Bellanamulla - Station - Creggan,,3,,,
4324_78154,7778020,A2,Bellanamulla - Station - Creggan,,3,,,
4324_78155,7778020,304A,Raheen - Bus Station - UL,,3,,,
4324_78156,7778020,NX,Dublin Wilton Terrace - Navan,,3,,,
4337_79888,7778017,rail,Dublin - Belfast,,2,,,
4337_79889,7778017,rail,Belfast - Dublin,,2,,,
4337_79890,7778017,InterCity,Dublin - Cork,,2,,,
4337_79892,7778017,rail,Dublin - Tralee,,2,,,
4337_79894,7778017,rail,Dublin - Limerick,,2,,,
4337_79896,7778017,rail,Limerick - Galway,,2,,,
4337_79897,7778017,rail,Waterford - Limerick,,2,,,
4337_79898,7778017,rail,Limerick - Ballybrophy,,2,,,
4337_79901,7778017,rail,Dublin - Waterford,,2,,,
4337_79903,7778017,rail,Dublin - Europort,,2,,,
4337_79905,7778017,rail,Dublin - Galway,,2,,,
4337_79906,7778017,rail,Dublin - Westport,,2,,,
4337_79909,7778017,rail,Dublin - Sligo,,2,,,
4337_79911,7778017,Commuter,Dublin - Portlaoise,,2,,,
4337_79912,7778017,rail,Dublin - Maynooth,,2,,,
4337_79913,7778017,rail,Mallow - Cobh,,2,,,
4337_79914,7778017,rail,Dublin - Drogheda/Dundalk,,2,,,
4337_79915,7778017,DART,Bray - Howth,,2,,,
